Q (Ang^-1), Data, Model
0.51,-0.767554295,-0.930934275
0.53,-0.97607775,-1.09235174
0.55,-1.00956506,-1.083900141
0.57,-0.881434587,-0.918076525
0.59,-0.643811763,-0.646484426
0.61,-0.3720376,-0.344747535
0.63,-0.144309063,-9.22E-02
0.65,-2.17E-02,4.82E-02
0.67,-3.37E-02,4.54E-02
0.69,-0.172237383,-9.38E-02
0.71,-0.395580503,-0.327632151
0.73,-0.640975025,-0.591485408
0.75,-0.841780949,-0.815467181
0.77,-0.945169605,-0.942364549
0.79,-0.925594869,-0.941972461
0.81,-0.790760354,-0.818044988
0.83,-0.578765889,-0.606357914
0.85,-0.347400381,-0.364613865
0.87,-0.158531667,-0.156964381
0.89,-6.17E-02,-3.72E-02
0.91,-8.14E-02,-3.51E-02
0.93,-0.210699837,-0.148825126
0.95,-0.413618317,-0.346256441
0.97,-0.634858817,-0.573529314
0.9899999,-0.814540417,-0.769466612
1.01,-0.904092418,-0.881648296
1.03,-0.879095374,-0.880084442
1.05,-0.745766367,-0.764990392
1.07,-0.53937825,-0.566659387
1.09,-0.315026185,-0.337502968
1.11,-0.133116874,-0.138315768
1.13,-4.33E-02,-2.23E-02
1.15,-7.13E-02,-2.10E-02
1.17,-0.211206141,-0.135843128
1.19,-0.427052192,-0.33717879
1.21,-0.66132311,-0.571893161
1.23,-0.849940059,-0.776886127
1.25,-0.93915762,-0.895587987
1.27,-0.900252259,-0.893097835
1.29,-0.738098673,-0.766038181
1.31,-0.49122504,-0.544456308
1.33,-0.223045969,-0.285064051
1.35,-6.21E-03,-5.73E-02
1.37,9.62E-02,7.46E-02
1.39,4.81E-02,6.86E-02
1.41,-0.148463629,-8.22E-02
1.43,-0.45081437,-0.34584783
1.45,-0.783407479,-0.656861406
1.47,-1.054236514,-0.930114808
1.49,-1.17621088,-1.08069162
1.51,-1.088639887,-1.044598901
1.53,-0.773662775,-0.795644818
1.55,-0.263497786,-0.3542554
1.57,0.363592818,0.214181792
1.59,0.998151842,0.811475321
1.61,1.522191686,1.326870526
1.63,1.834783193,1.661016903
1.65,1.874872359,1.748335366
1.67,1.636113783,1.572693802
1.69,1.170192347,1.172701686
1.71,0.577614328,0.635195695
1.73,-1.23E-02,7.81E-02
1.75,-0.46789557,-0.373774378
1.77,-0.682945918,-0.61485289
1.79,-0.598977718,-0.581197233
1.81,-0.218093366,-0.264376926
1.83,0.396926724,0.286192926
1.85,1.135096116,0.972931988
1.87,1.859595313,1.669694577
1.89,2.435250257,2.247080822
1.91,2.755289541,2.598082555
1.93,2.761802338,2.658703533
1.95,2.455772656,2.419370628
1.97,1.894881744,1.925009868
1.99,1.17992251,1.264128094
2.01,0.433067605,0.549566708
2.03,-0.227143177,-0.104727595
2.05,-0.708714726,-0.605888293
2.07,-0.962297576,-0.898676658
2.09,-0.987439322,-0.973212127
2.11,-0.828215389,-0.862755677
2.13,-0.559808517,-0.632624694
2.15,-0.269498105,-0.363189621
2.17,-3.66E-02,-0.131036228
2.19,8.44E-02,7.45E-03
2.21,7.34E-02,2.66E-02
2.23,-5.42E-02,-6.59E-02
2.25,-0.254090257,-0.23420319
2.27,-0.467154444,-0.425808283
2.29,-0.634905703,-0.586087338
2.31,-0.714431628,-0.672360655
2.33,-0.688437466,-0.664159078
2.35,-0.568480766,-0.567417405
2.37,-0.390892775,-0.411868305
2.39,-0.206654941,-0.242541815
2.41,-6.79E-02,-0.107635357
2.43,-1.42E-02,-4.58E-02
2.45,-6.26E-02,-7.59E-02
2.47,-0.202352105,-0.191886516
2.49,-0.397343714,-0.363294007
2.51,-0.59392653,-0.542251088
2.53,-0.73324916,-0.674242199
2.55,-0.764831272,-0.71075463
2.57,-0.658371257,-0.620687585
2.59,-0.411148549,-0.397993371
2.61,-4.94E-02,-6.39E-02
2.63,0.376294404,0.336810522
2.65,0.801230857,0.744283237
2.67,1.158921454,1.095411131
2.69,1.394074028,1.335945649
2.71,1.47278096,1.430650533
2.73,1.388161202,1.369372388
2.75,1.160469452,1.167964813
2.77,0.831932628,0.864119306
2.79,0.457661177,0.509217197
2.81,9.47E-02,0.158081157
2.83,-0.208324542,-0.141175812
2.85,-0.4192834,-0.35517352
2.87,-0.526333208,-0.469716192
2.89,-0.537604889,-0.490079705
2.91,-0.476908498,-0.437454209
2.93,-0.376846074,-0.342634403
2.95,-0.271005551,-0.238526091
2.97,-0.186953401,-0.153138455
2.99,-0.141398253,-0.104466298
3.01,-0.138289623,-9.81E-02
3.03,-0.169903294,-0.127922478
3.05,-0.220314933,-0.1789129
3.07,-0.270213908,-0.231974247
3.09,-0.301839604,-0.268749832
3.11,-0.302941395,-0.2758286
3.13,-0.26901327,-0.247343299
3.15,-0.20353059,-0.185606431
3.17,-0.116397105,-9.99E-02
3.19,-2.12E-02,-3.79E-03
